"#";"Url";"Type";"Anchor";"No-follow";"Google cachedate";"Facebook likes";"Google index";"Yahoo index";"Bing index";"Alexa rank";"SEMrush Rank";"SEMrush SE Traffic";"SEMrush backlinks"
"16";"https://bgoonz-blog.netlify.app/docs/projects";"text";"Projects";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"8"
"17";"https://bgoonz-blog.netlify.app/docs/tools";"text";"Tools";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"8"
"18";"https://bgoonz-blog.netlify.app/docs/";"text";"Docs";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"20"
"19";"https://bgoonz-blog.netlify.app/docs/about/";"text";"About";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"19"
"20";"https://bgoonz-blog.netlify.app/docs/about/eng-portfolio/";"text";"Engineering Portfolio";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"2"
"21";"https://bgoonz-blog.netlify.app/docs/about/intrests/";"text";"Youtube";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"2"
"22";"https://bgoonz-blog.netlify.app/docs/about/resume/";"text";"Resume";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"18"
"23";"https://bgoonz-blog.netlify.app/docs/about/job-search/";"text";"Job Search";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"2"
"24";"https://bgoonz-blog.netlify.app/docs/about/README/";"text";"readme";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"0"
"25";"https://bgoonz-blog.netlify.app/docs/articles/";"text";"Articles";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"18"
"26";"https://bgoonz-blog.netlify.app/docs/articles/http/";"text";"The HTTP Protocol";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"5"
"27";"https://bgoonz-blog.netlify.app/docs/articles/nextjs/";"text";"lorem-ipsum";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"0"
"28";"https://bgoonz-blog.netlify.app/docs/articles/how-the-web-works/";"text";"How The Web Works";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"5"
"29";"https://bgoonz-blog.netlify.app/docs/articles/node-cli-args/";"text";"where-is-npm-pack";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"30";"https://bgoonz-blog.netlify.app/docs/articles/node-env-variables/";"text";"Node Export Module";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"31";"https://bgoonz-blog.netlify.app/docs/articles/node-package-manager/";"text";"Sorting Algorithms";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"32";"https://bgoonz-blog.netlify.app/docs/articles/node-common-modules/";"text";"Common Modules";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"33";"https://bgoonz-blog.netlify.app/docs/articles/node-repl/";"text";"The-package-lock.json-file";"No";"?";"n/a";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"34";"https://bgoonz-blog.netlify.app/docs/articles/node-run-cli/";"text";"node-cli-args";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"35";"https://bgoonz-blog.netlify.app/docs/articles/npm/";"text";"Introduction to npm";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"36";"https://bgoonz-blog.netlify.app/docs/articles/semantic-html/";"text";"Web Design";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"37";"https://bgoonz-blog.netlify.app/docs/articles/node-js-language/";"text";"packagejson";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"38";"https://bgoonz-blog.netlify.app/docs/articles/the-uniform-resource-locator-(url)/";"text";"The Uniform Resource Locator (URL)";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"39";"https://bgoonz-blog.netlify.app/docs/articles/v8/";"text";"npm global or local packages";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"40";"https://bgoonz-blog.netlify.app/docs/articles/understanding-firebase/";"text";"Firebase";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"41";"https://bgoonz-blog.netlify.app/docs/articles/web-standards-checklist/";"text";"Web Standards Checklist";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"42";"https://bgoonz-blog.netlify.app/docs/articles/webdev-tools/";"text";"Web Developer Tools";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"43";"https://bgoonz-blog.netlify.app/docs/articles/buffers/";"text";"Node Buffers";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"44";"https://bgoonz-blog.netlify.app/docs/articles/event-loop/";"text";"The Node.js Event Loop";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"45";"https://bgoonz-blog.netlify.app/docs/articles/basic-web-dev/";"text";"Web Dev Review";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"46";"https://bgoonz-blog.netlify.app/docs/articles/dev-dep/";"text";"Dev Dependencies";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"47";"https://bgoonz-blog.netlify.app/docs/articles/fs-module/";"text";"Fs-Module";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"48";"https://bgoonz-blog.netlify.app/docs/articles/install/";"text";"Install";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"49";"https://bgoonz-blog.netlify.app/docs/articles/intro/";"text";"Intro To Node";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"50";"https://bgoonz-blog.netlify.app/docs/articles/modules/";"text";"Node Modules System";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"51";"https://bgoonz-blog.netlify.app/docs/articles/nodevsbrowser/";"text";"Node vs Browser";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"52";"https://bgoonz-blog.netlify.app/docs/articles/os-module/";"text";"OS-Module";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"53";"https://bgoonz-blog.netlify.app/docs/articles/npx/";"text";"The npx Node.js Package Runner";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"54";"https://bgoonz-blog.netlify.app/docs/articles/semantic/";"text";"Semantic Versioning";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"55";"https://bgoonz-blog.netlify.app/docs/articles/reading-files/";"text";"Reading Files";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"56";"https://bgoonz-blog.netlify.app/docs/articles/writing-files/";"text";"Writing Files";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"57";"https://bgoonz-blog.netlify.app/docs/articles/node-api-express/";"text";"Node APIs With Express";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"58";"https://bgoonz-blog.netlify.app/docs/audio/";"text";"Audio";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"59";"https://bgoonz-blog.netlify.app/docs/audio/audio/";"text";"Audio";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"60";"https://bgoonz-blog.netlify.app/docs/audio/audio-feature-extraction/";"text";"Audio Feature Extraction";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"61";"https://bgoonz-blog.netlify.app/docs/audio/discrete-fft/";"text";"Fast Fourier Transform";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"62";"https://bgoonz-blog.netlify.app/docs/audio/dynamic-time-warping/";"text";"dynamic-time-warping";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"63";"https://bgoonz-blog.netlify.app/docs/audio/dtw-python-explained/";"text";"Dynamic Time Warping Algorithm Explained (Python)";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"64";"https://bgoonz-blog.netlify.app/docs/audio/dfft/";"text";"Discrete Fast Fourier Transform";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"65";"https://bgoonz-blog.netlify.app/docs/audio/web-audio-api/";"text";"Web Apis";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"66";"https://bgoonz-blog.netlify.app/docs/career/";"text";"Career";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"67";"https://bgoonz-blog.netlify.app/docs/career/interview-dos-n-donts/";"text";"Do & Don't of Interviewing!";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
